Monday_Date,Monday_Open,Friday_Close,Weekly_Sentiment,RF_Prediction,Weekly_Volatility,Trend
03-01-2022,177.8300018,172.1699982,0,172.7472984,0.436572641,Bullish
10-01-2022,169.0800018,173.0700073,0,173.4269054,1.608497946,Bearish
24-01-2022,160.0200043,170.3300018,0,167.1551018,0.18867528,Bullish
31-01-2022,170.1600037,172.3899994,0,173.0103986,1.261508202,Bearish
07-02-2022,172.8600006,168.6399994,0,170.5151994,2.122190014,Bearish
14-02-2022,167.3699951,167.3000031,0,168.6143027,1.739670987,Bearish
28-02-2022,163.0599976,163.1699982,0,163.9895976,0.99274641,Bearish
07-03-2022,163.3600006,154.7299957,0,156.1532973,3.079253615,Bullish
14-03-2022,151.449997,163.9799957,0,162.9025957,1.348967292,Bullish
21-03-2022,163.5099945,174.7200012,0,174.1177029,0.683372001,Bearish
28-03-2022,172.1699982,174.3099976,0,175.0252992,1.172882241,Bearish
04-04-2022,174.5700073,170.0899963,0,170.6857974,1.209156394,Bearish
18-04-2022,163.9199982,161.7899933,0,163.1910945,0.527450184,Bearish
25-04-2022,161.1199951,157.6499939,0,157.3896968,3.572641535,Bearish
02-05-2022,156.7100067,157.2799988,0,158.1589992,5.150917551,Bearish
09-05-2022,154.9299927,147.1100006,0,146.5468996,1.271371535,Bearish
16-05-2022,145.5500031,137.5899963,0,139.6952991,1.567402991,Bullish
23-05-2022,137.7899933,149.6399994,0,147.2367999,1.763337004,Bearish
06-06-2022,147.0299988,137.1300049,0,140.1554051,2.350775913,Bearish
13-06-2022,132.8699951,131.5599976,0,132.1749965,3.276153575,Bullish
27-06-2022,142.699997,138.9299927,0,138.7229942,1.370844732,Bullish
11-07-2022,145.6699982,150.1699982,0,149.1962994,1.201705574,Bullish
18-07-2022,150.7400055,154.0899963,0,154.2324985,0.246472729,Bullish
25-07-2022,154.0099945,162.5099945,0,160.2548976,1.349869099,Bullish
01-08-2022,161.0099945,165.3500061,0,164.4458032,1.822278996,Bullish
08-08-2022,166.3699951,172.1000061,0,170.7186052,1.467987406,Bearish
15-08-2022,171.5200043,171.5200043,0,172.3275026,0.523046441,Bearish
22-08-2022,169.6900024,163.6199951,0,164.9028957,0.864726414,Bearish
29-08-2022,161.1499939,155.8099976,0,156.4291997,1.01551639,Bearish
12-09-2022,159.5899963,150.699997,0,151.5517967,1.355230268,Bearish
19-09-2022,149.3099976,150.4299927,0,151.907494,0.687416004,Bearish
26-09-2022,149.6600037,138.199997,0,140.0715965,2.606369109,Bullish
03-10-2022,138.2100067,140.0899963,0,141.7937955,0.980825915,Bearish
10-10-2022,140.4199982,138.3800049,0,138.8445032,2.387022438,Bullish
17-10-2022,141.0700073,147.2700043,0,146.199003,0.411400094,Bullish
